Institute,Keywords,Project,Geographic Reach,Funding Amount,3 year savings,Summary,Category,Stage,Model,url,Unique ID
State of Pennsylvania,"State Innovation Models Initiative: Model Design Awards, Pennsylvania, PA, public payer, private payer, care transitions, telemedicine, care management, population health, community-based care teams, infrastructure, health information technology, telemedicine, rural, CMS Region 3",One of sixteen states developing models for multi-payer payment and health care delivery system transformation.,Pennsylvania,"1,560,135.00",,,Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Participants Announced,State Innovation Models Initiative: Model Design Awards Round One,http://innovation.cms.gov/initiatives/participant/State-Innovations-Model-Design/Pennsylvania.html,72
Lifelong Medical Care,"Health Care Innovation Awards, HCIA, California, CA, Medicare, Medicaid, ER, hospitalizations, self management, nurses, health coaches, low-income,Lifelong Medical Care, CMS Region 9",Health Care Innovation Challenge: LifeLong complex care initiative to achieve the Triple Aim,California,"1,109,231.00","1,100,000.00","The LifeLong Complex Care Initiative merges the strengths of a community health center, LifeLong Medical Care, and an independent living center, Center for Independent Living, to provide coordinated, interdisciplinary team care for adults with disabilities who are at high-risk of poor health outcomes and avoidable utilization of high-cost emergency room and inpatient care. The project targets the 20% highest risk patients among a population of 3250 seniors and other adults with disabilities who are Medicaid and dual Medicare/Medicaid beneficiaries living in Alameda County, California and are members of the Alameda Alliance for Health. By the end of the three-year demonstration, the collaboration seeks to improve health outcomes and utilization patterns such that consumers are healthier, more satisfied with their care, and less likely to utilize high-cost services, with a goal of approximately $1 million in cost savings. The intervention trains adults with disabilities as peer coaches, to support consumers to identify and work towards self-directed health goals, such as healthy lifestyle modifications, disease self-management, and increased independence. The peer coaches are partnered with RN care managers, who facilitate integrated care and provide practical services including health education, medication reconciliation, and self-management support. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Lifelong-Medical-Care.html,40
Carilion New River Valley Medical Center,"Health Care Innovation Awards, HCIA, Virginia, VA, West Virginia, WV, medication therapy management, Medicare, Medicaid, rural hospitals, primary care, pharmacists, chronic disease management, care coordination, medication adherence, reduced hospitalizations, ER, Carilion New River Valley Medical Center, CMS Region 3",Improving health for at-risk rural patients (IHARP) in 23 southwest Virginia counties through a collaborative pharmacist practice model,"Virginia, West Virginia","4,162,618.00","4,308,295.00","Carilion New River Valley Medical Center, in partnership with Virginia Commonwealth University School of Pharmacy, Aetna Healthcare and select community pharmacies, received an award to improve medication therapy management for Medicare and Medicaid beneficiaries and other patients in 23 underserved, rural counties in southwest Virginia. Their care delivery model, involving six rural and one urban hospitals and 20 primary care practices, trains pharmacists in transformative care and chronic disease management protocols. Through care coordination and shared access to electronic medical records, the project enables pharmacists to participate in improving medication adherence and management, resulting in better health, reduced hospitalizations and emergency room visits, and fewer adverse drug events for patients with multiple chronic diseases.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Carilion-New-River-Valley-Medical-Center.html,43
"Eau Claire Cooperative Health Centers, Inc.","Health Care Innovation Awards, HCIA, South Carolina, SC, low income, underserved, nurse practitioners, registered nurses, community health workers, federally qualified health center, home visits, ER, chronic conditions, peer health workers, community organizer, Eau Claire Cooperative Health Centers Inc., CMS Region 4","Healthy Columbia: recruiting, training, organizing, deploying, and supporting community health teams in low income area of Columbia, South Carolina",South Carolina,"2,330,000.00","14,817,600.00","Eau Claire Cooperative Health Centers, Inc., in partnership with the Select Health and BlueChoice Medicaid Managed Care Organizations, is receiving an award for a project aimed at improving health outcomes for populations in underserved, low-income areas of Columbia, South Carolina. Eau Claire will use health care teams of nurse practitioners, registered nurses, and community health workers affiliated with a Federally Qualified Health Center to provide patient education, home visits, and care coordination, leading to reduced use of high cost health care services, including emergency room visits and hospitalizations, improved self-management for patients with chronic conditions, a decrease in low birth weight infant care, and improved health outcomes in general. Payers have agreed to reimburse a portion of cost savings. Over a three-year period, Eau Claire Cooperative Health Centers will create an estimated 22 health care-related jobs, including positions for peer health workers, registered nurses, Nurse Practitioners, and a project director.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Eau-Claire-Cooperative-Health-Centers-Inc.html,41
South Carolina Research Foundation,"Health Care Innovation Awards, HCIA, South Carolina, SC, home-based care, care coordination, chronic disease management, nurses, medication adherence, disease management, hospitalizations, ER, program manager, South Carolina Research Foundation, CMS Region 4","HOME CARE +, a care coordination model for persons receiving home care to prevent hospital, ER and nursing home admission",South Carolina,"2,884,719.00","3,100,611.00","The South Carolina Research Foundation received an award to test a care coordination model for recipients of home care that are nursing home level of care in South Carolina. The project uses a person-centered coaching approach by a Home Care Consultant (nurse) to engage the participant as a team member in their health care decision making.  Through a team approach consisting of their personal care aide who receives a 12 module chronic disease management curriculum and care coordination on a long term basis, this approach will encourage the proper care at the proper time, care continuity, medication adherence, disease management, reduce avoidable hospitalizations, and emergency room visits and increase the length of time to transition to a nursing home.  Over a three-year period, the South Carolina Research Foundation will create an estimated 16 jobs. These workers will include a program manager and home care coordinators.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/South-Carolina-Research-Foundation.html,42
State of New Hampshire,"State Innovation Models Initiative: Model Design Awards, New Hampshire, NH, long-term care, outcome-based services, care coordination, population health, CMS Region 1",One of sixteen states developing models for multi-payer payment and health care delivery system transformation.,New Hampshire,"1,605,378.00",,,Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Participants Announced,State Innovation Models Initiative: Model Design Awards Round One,http://innovation.cms.gov/initiatives/participant/State-Innovations-Model-Design/New-Hampshire.html,82
Northland Healthcare Alliance,"Health Care Innovation Awards, HCIA, North Dakota, ND, rural, care coordinators, telemedicine, elderly, hospitalizations, Northland Healthcare Alliance, CMS Region 8",Improving health for the elderly in North Dakota one community at a time,North Dakota,"2,726,216.00","2,966,280.00","Northland Healthcare Alliance received an award to implement a modified version of the Program of All-Inclusive Care for the Elderly (PACE) model in rural North Dakota.  The Alliance will hire and train Community Care Coordinators in seven rural communities who will use a team approach to coordinate the care for the program participants. It will use existing long-term care or assisted living programs and sites to provide coordinated services to the frail elderly. The Northland Care Coordination for Seniors program was developed to keep seniors in the community to live in their home healthier, safer and more independently. The program provides participants, their families, caregivers, and professional health care providers more flexibility to meet health care needs, improve care and the quality of life for those enrolled. The goal of this model is to reduce avoidable admissions to nursing facilities and decrease hospitals stays leading to lower health care costs per person while improving the health and health care for the participants. Over a three-year period, Northland Healthcare Alliance’s program will create an estimated eight jobs that include Community Care Coordinators, Data Analyst and Administrative staff for the Northland Care Coordination for Seniors program.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Northland-Healthcare-Alliance.html,44
Delta Dental Plan of South Dakota,"Health Care Innovation Awards, HCIA, North Dakota, ND, South Dakota, SD, oral health, diabetes, reservations, Medicaid, children, preventive care, dental diseases, dental hygienists, community health representatives, surgical care, Delta Dental Plan of South Dakota, CMS Region 8",Improving the care and oral health of American Indian mothers and young children and American Indian people with diabetes on South Dakota reservations,"North Dakota, South Dakota","3,364,528.00","6,200,000.00","Delta Dental of South Dakota, which covers over thirty-thousand isolated, low-income, and underserved Medicaid beneficiaries and other American Indians on reservations throughout South Dakota, received an award to improve oral health and health care for American Indian mothers, their young children, and American Indian people with diabetes. Providing preventive care will help avoid and arrest oral and dental diseases, repair damage, prevent recurrence, and ultimately, reduce the need for surgical care. The project will also work with diabetic program coordinators to identify and treat people with diabetes. By coordinating community-based oral care with other social and care provider services, the model is expected to reduce the high incidence of oral health problems in the area, improve patient access, monitoring, and overall health, and lower cost through prevention with estimated savings of over $6 million. Over the three-year period, the Delta Dental of South Dakota Circle of Smiles program will train an estimated 24 health care workers and create an estimated 24 new jobs. These workers will be comprised of registered dental hygienists and community health representatives who will treat and educate patients and coordinate their dental care.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Delta-Dental-Plan-Of-South-Dakota.html,45
FirstVitals Health and Wellness Inc.,"Health Care Innovation Awards, HCIA, Hawaii, HI, low-income, diabetes, care coordination, health information technology, HIT, Medicaid, care coordinators, physicians, medication adherence, ER, hospitalizations, clinical diabetes educator, medical director, FirstVitals Health and Wellness Inc., CMS Region 9",Improving the health and care of low-income diabetics at reduced costs,Hawaii,"3,999,713.00","4,829,955.00","FirstVitals Health and Wellness Inc., in partnership with AlohaCare, received an award to implement and test a care coordination and health information technology plan that will better regulate glucose levels for Medicaid-eligible patients with Type 1 and Type 2 diabetes who have the complication of peripheral neuropathy. FirstVitals will create a secured database that will receive data feeds from a combination of wireless glucose meters and tablets, which are expected to improve health education and social networking around diabetes management issues. The ""real time"" information will be available to integrated care coordinators, patients, physicians and other approved caregivers, informing decisions about care and enabling caregivers to track and monitor glucose levels, improve medication adherence, and increase patient safety and the effectiveness of treatment. The project will reduce foot ulcers and amputations and attendant complications, and reduce emergency room visits and hospitalizations. Over a three-year period, FirstVitals’ program will involve and educate dozens of healthcare workers, train an estimated 11 to 12 healthcare coordinators and will create an estimated 7 to 9 jobs. The new workforce will include integrated care coordinators both clinical and non-clinical, a clinical diabetes educator, and a medical director.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Firstvitals-Health-And-Wellness-Inc.html,46
State of Massachusetts,"State Innovation Models Initiative: Model Testing Awards, Massachusetts, MA, primary care, patient-centered medical homes, care coordination, care management, population health management, shared savings, shared risk, public health, CMS Region 1","One of six states implementing, testing and evaluating a multi-payer health system transformation model that aims to deliver high quality care and improve health system performance for its residents. ",Massachusetts,"44,011,924.00",,,Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Participants Announced,State Innovation Models Initiative: Model Testing Awards Round One,http://innovation.cms.gov/initiatives/participant/State-Innovations-Model-Testing/Massachusetts.html,71
Pacific Business Group on Health,"Health Care Innovation Awards, HCIA, California, CA, Arizona, AZ, Washington, WA, care coordination, rural, urban, Medicare, Medicaid, primary care, care managers, ER, hospitalizations, clinical director, nurses, information technology analysts, Pacific Business Group on Health, CMS Region 9, CMS Region 10",Intensive outpatient care program,"Arizona, California, Washington","19,139,861.00","25,280,570.00","The Pacific Business Group on Health received its award to partner with provider groups in Arizona, California and Washington for the Intensive Outpatient Care Program (IOCP). Care managers embedded in primary care practices provide psychosocial and medical support for 27,000 predicted high-risk patients with chronic illness. The program aims to improve patient experience and clinical outcomes, reduce avoidable emergency room visits and hospitalizations, and spread best practices across a wide network of partners and, ultimately, other providers. Over a three-year period, Pacific Business Group on Health’s program will train over 410 people to spread best practices across a wide network, while creating an estimated 211 jobs for Care Coordinators and project staff. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Pacific-Business-Group-On-Health.html,51
The University of Chicago,"Health Care Innovation Awards, HCIA, Illinois, IL, nurses, social workers, hospitalizations, Medicare, programmer, high-risk populations, The University of Chicago, CMS Region 5",Integrated inpatient/outpatient care for patients at high risk of hospitalization,Illinois,"6,078,073.00","18,750,000.00","The University of Chicago received an award to test a model of care delivery that reasserts the importance of an ongoing doctor-patient relationship. The project will use multidisciplinary teams—including Registered Nurses, Licensed Practical Nurses, social workers, and medical assistants led by Comprehensive Care Physicians (CCPs)—to provide consistent care to Medicare beneficiaries before, during, and after hospitalizations. CCPs will perform rounds in hospitals 48 weeks per year, ensuring they see patients and monitor their health consistently. The targeted population will include beneficiaries with a high probability of hospitalization, making it more likely that CCPs will encounter their patients during rounds in the hospital. Over a three-year period, The University of Chicago program will train an estimated 26 workers and will create an estimated 11 jobs. The new workforce will include a programmer, 4 research assistants, 5 comprehensive care physicians, 2 nurses, a social worker and a medical office assistant.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/The-University-Of-chicago.html,47
Denver Health and Hospital Authority,"Health Care Innovation Awards, HCIA, Colorado, CO, children, low income, medical needs, behavioral needs, social needs, primary care, ER, avoidable hospitalizations, patient navigators, HIT, health information technology, ambulatory care, Denver Health and Hospital Authority, CMS Region 8",Integrated model of individualized ambulatory care for low income children and adults,Colorado,"19,789,999.00","12,792,256.00","The goal of the project is for Denver Health to transform its primary care delivery system to provide individualized care to more effectively meet its patients' medical, behavioral and social needs. This model provides team-based care, coordinates care across health settings and offers self-care support between visits enabled by health information technology (HIT) and team-based patient navigators who reach out to patients in a variety of ways. It also integrates physical and behavioral health services in collaboration with the Mental Health Center of Denver (MHCD) in existing primary care settings and in newly created high-risk clinics for the most complex patients. Over the three-year grant period, Denver Health’s 21st Century Care program will ensure increased access to care by 15,000 people, improve overall population health for Denver Health patients by 5 percent, improve patient satisfaction with care delivered between visits by 5 percent without decreasing satisfaction with visit-based care, and decrease total cost of care by 2.5 percent relative to trend. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Denver-Health-And-Hospital-Authority.html,48
University of Southern California,"Health Care Innovation Awards, HCIA, California, CA, preventive care, high-risk populations, medication adherence, hospitalizations, ER, programmer, project manager, pharmacists, University of Southern California, CMS Region 9",Integrating clinical pharmacy services in safety-net clinics,California,"12,007,677.00","43,716,000.00","The University of Southern California aims to improve healthcare quality, enhance medication safety, and reduce overall healthcare costs for high-risk, underserved populations. These aims will be achieved by: 1) integrating comprehensive clinical pharmacy services in patient-centered medical homes, and 2) spreading the services to other organizations through workforce development and web-based two-way communication.   The model is serving the underserved and vulnerable populations of Santa Ana, Huntington Beach, and Garden Grove. The selected area represents the epicenter of uncontrolled chronic disease - almost half the population is foreign born and 47% of the population lives below 200% of the Federal Poverty Level (FPL). Providing comprehensive medication management and drug safety protocols to these chronically-ill populations is expected to reduce overall treatment costs and achieve net cost savings.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/University-Of-Southern-California.html,49
Northeastern University,"Health Care Innovation Awards, HCIA, Massachusetts, MA, North Carolina, NC, Washington, WA, evidence-based treatments, engineer-clinician project teams, managers, Northeastern University, CMS Region 1, CMS Region 4, CMS Region 10, CMS Region 9",Integrating industrial and system engineering (ISE) methods into healthcare improvement,"Massachusetts, North Carolina, Washington","8,000,002.00","60,780,907.00","The Healthcare Systems Engineering Institute at Northeastern University received an award to conduct a National Demonstration Project of the value that the systems engineering methods used in other complex industries can also be used to reduce healthcare costs, improve quality and safety, reduce waits and delays, and improve clinical outcomes and overall population health. Under this award, Northeastern will create a model regional healthcare systems engineering extension center that partners with several local healthcare systems, applies systems engineering methods to targeted common problems to significantly impact the goals of better outcomes, better health, and at lower costs, and develops an implementation plan for national spread. This award funds the first phase of a larger scale 10-year project to establish a national network of similar healthcare systems engineering regional extension centers across the U.S. that develop and embed regional industrial and systems engineering improvement science academic departments and other resources into their local healthcare systems, saving billions annually while training a targeted future workforce of 15,000 healthcare systems engineers.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Northeastern-University.html,50
State of Hawaii ,"State Innovation Models Initiative: Model Design Awards, Hawaii, HI, accountable care, patient-centered medical homes, bundled payments, reducing waste, reimbursement, telehealth, incentivize, standardized efficiency, accessibility, quality outcomes, CMS Region 9",One of sixteen states developing models for multi-payer payment and health care delivery system transformation.,Hawaii,"937,691.00",,,Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Participants Announced,State Innovation Models Initiative: Model Design Awards Round One,http://innovation.cms.gov/initiatives/participant/State-Innovations-Model-Design/Hawaii.html,74
Johns Hopkins University,"Health Care Innovation Awards, HCIA, Maryland, MD, high-risk populations, mental illness, substance abuse, care coordination, medication adherence, home-based care, primary care, Medicare, Medicaid, hospitalizations, ER, care coordinators, case managers, nurses, pharmacists, Johns Hopkins University, CMS Region 3",Johns Hopkins Community Health Partnership (J-CHiP),Maryland,"19,920,338.00","52,600,000.00","Johns Hopkins University, in partnership with Johns Hopkins Health System and its hospitals, community clinics and other affiliates, the Johns Hopkins Urban Health Institute, Priority Partners MCO, Baltimore Medical System (BMS) - a Federally Qualified Health Center, and local skilled nursing facilities, received an award to create a comprehensive and integrated program, the Johns Hopkins Community Health Partnership (J-CHiP). J-CHiP is designed to increase access to services for high-risk adults in East Baltimore, MD, especially those with chronic illness, mental illness, and/or substance abuse conditions. The intervention improves care coordination across the continuum and comprises early risk screening, interdisciplinary care planning, enhanced medication management, patient/family education, provider communication, post-discharge support and home care services, including self-management coaching, and improved access to primary care. The program will target inpatients at The Johns Hopkins Hospital and Johns Hopkins Bayview Medical Center, expanding to nearly all adult admissions by the end of year 3. The intervention will also include a specific focus on high risk Medicare and Medicaid beneficiaries who receive primary care from Johns Hopkins clinics and a BMS clinic adjacent to these hospitals. The program will reduce avoidable hospitalizations, emergency room use, and complications and increase access to care and other services. Over a three-year period, Johns Hopkins University will train and hire more than 75 new health care workers, including nurse educators, nurse transition guides, case managers, community health workers, and health behavior specialists, and will retrain care coordinators, patient access line case managers, clinical pharmacy specialists, community health workers, and physicians already on staff. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Johns-Hopkins-University.html,52
Le Bonheur Community Health and Well Being,"Health Care Innovation Awards, HCIA, Memphis and Shelby County, Tennessee, TN, community-based, asthma, children, care management, evidence-based treatment, health care coordinators, social worker, medication adherence, hospitalizations, ER, Le Bonheur Community Health and Well Being, CMS Region 4",Le Bonheur's CHAMP Program: Changing High-risk Asthma in Memphis through Partnership,Tennessee,"2,896,416.00","4,003,397.00","Le Bonheur Children’s Hospital, Division of Community Health and Well Being and the University of Tennessee Health Science Center are collaborating to serve children with high-risk asthma in Memphis/Shelby County, Tennessee.  CHAMP features an asthma registry, a repository of critical information on all CHAMP patients that will be accessed by a variety of providers caring for the patients. Additionally, the registry is a means to document all CHAMP activities, track all elements of the CHAMP monitoring plan, and produce reports for use in the PDSA process. Patients receive medical care and assessment by CHAMP physician sub-specialists. The Community Coordination team, comprised of two Asthma Care Coordinators and 4 Community Health Workers who are supervised by a Licensed Clinical Social Worker, provides asthma education; environmental assessment; coordination with schools and child care; and provides help with barriers to asthma management. The final component is the collaboration with the primary care physicians, school health, and other community partners. The self-monitoring aspects of CHAMP are managed by a program evaluator and a data analyst. CHAMP aims to reduce emergency room visits, avoidable hospitalizations, school absence due to asthma, and child deaths due to asthma. Additionally CHAMP seeks to improve school attendance, improve quality of life, and improve the experience of health care, all at a lower cost of care.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Le-Bonheur-Community-Health-And-Well-Being.html,53
University of New Mexico Health Sciences Center,"Health Care Innovation Awards, HCIA, New Mexico, NM, primary care, chronic disease management, high-risk populations, University of New Mexico Health Sciences Center, CMS Region 5",Leverage innovative care delivery and coordination model: Project ECHO,New Mexico,"8,473,809.00","11,100,000.00","The University of New Mexico Health Sciences Center is receiving an award for its ECHO Project. The goals of the ECHO® model is to improve the quality of care and reduce the total cost by at least 3.5% in 2,500 high-need, high-cost Medicaid beneficiaries in New Mexico, and to increase overall primary care capacity to diagnose and provide the best treatment for these complex patients. The ECHO Care™ program will expand the capacity of the primary care workforce through participation in a TeleECHO™ clinic dedicated to co-managing complex care for patients with significant multi-morbidity, including mental health and substance abuse. In addition to this new Complex Care teleECHO Clinic, a new type of primary care clinical team will care for these patients with complex medical, behavioral and social needs at provider sites located around New Mexico. This “outpatient intensivist team” (OIT), has the potential to dramatically improve care and reduce costs for the Medicaid beneficiaries experiencing high utilization of services.  Medicaid has been an active partner with ECHO Care™ from its inception, and continues to be strongly committed to its success. Multiple Medicaid MCOs will fund the OITs based on the patient population cared for by the OIT at each provider site as well as compensate the multidisciplinary team of specialists at the Complex Care teleECHO Clinic for consultative services.     The high-need and high-cost Medicaid population to be served by ECHO Care™ is being identified through the assistance of researchers at New York University  who have developed a methodology to select the most complex and costly patients whose costs can be impacted with comprehensive and coordinated care. Strategies for sustaining these savings beyond the project time period include the maintenance of increased capacity of OITs to manage complex patients and the formulation of a replicable reimbursement model utilizing the ECHO® prototype as a core element of healthcare delivery.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/University-Of-New-Mexico-Health-Sciences-Center.html,54
The Curators of the University of Missouri,"Health Care Innovation Awards, HCIA, Missouri, MO, Medicare, Medicaid, primary care, evidence-based treatments, self-management, project coordinator, health care coordinators, information analysts, The Curators of the University of Missouri, CMS Region 7",Leveraging Information Technology to Guide High Tech High Touch Care (LIGHT2),Missouri,"13,268,444.00","16,950,358.00","The Curators of the University of Missouri received an award to provide enhanced primary care to Medicare and Medicaid beneficiaries receiving primary care within the University of Missouri Health System, many of them chronically ill. The program will use advanced health information technology, evidence-based treatment planning, and a specialized workforce to coordinate care for both patients and the existing health care team. Through support for disease self-management, improved delivery system design, focus on preventive care, and better decision-making tools, the intervention will strengthen primary care, reduce specialist referrals and the need for acute care, and improve patients’ health. Over a three-year period, The Curators of the University of Missouri’s program will train an estimated 420 workers and will create an estimated 30 jobs. The new workforce will include a project coordinator, a business manager, 3 health information analysts and 18 health care coordinators.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/The-Curators-Of-The-University-Of-Missouri.html,55
Allina Health System,"Health Care Innovation Awards, HCIA, Minnesota, MN, community-based medical home, complex health conditions, primarycare, specialty care, independent living skills specialists, peer leaders, avoidable hospitalizations, Courage Center, Allina Health System, CMS Region 5",Maximum Health at Minimal Cost: A Community-Based Medical Home Model for the Non-Elderly Disabled,Minnesota,"1,767,667.00","2,000,000.00","Allina Health System received an award to test a community-based medical home model to serve 300 adults with disabilities and complex health conditions, particularly complex neurological conditions, in the Minneapolis - St. Paul metropolitan area. The intervention will coordinate and improve access to primary and specialty care, increase adherence to care, and empower participants to better manage their own health. Over 25 Independent Living Skills Specialists, Peer Leaders, and other health professionals will be trained with enhanced skills to fulfill the medical home mission. This community-based and patient-centered approach is expected to reduce avoidable hospitalizations, lower cost, and improve the quality of care for this expensive and underserved group of people with an estimated savings of over $2 million over the three-year award.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Allina-Health-System.html,57
"MedExpert International, Inc","Health Care Innovation Awards, HCIA, California, CA, Idaho, ID, Texas, TX, Washington, WA, decision-making system, Medicare, Medicaid, CHIP, medical information coordinators, project manager, information technology, MedExpert International Inc, CMS Region 9, CMS Region 10, CMS Region 6",MedExpert International: Quality Medical Management System (QMMS),"California, Idaho, Texas, Washington","9,332,545.00","50,410,304.00","MedExpert International received an award to test its Quality Medical Management System (QMMS) in comparison to a control group. QMMS is a shared decision-making system that provides consumers with access to world-expert physician advice, educational materials, and assistance with interpreting benefits and treatment options using Medical Information Coordinators and staff Physicians. QMMS will be available in selected geographic markets across the country to serve approximately 180,000 Medicare beneficiaries. The goal is to improve quality of care, reduce costs, increase transparency, achieve high utilization and satisfaction, and demonstrate model viability. Over a three-year period, MedExpert International will train and hire approximately 38 health care workers, including medical information coordinators, a medical information coordinator supervisor, a project manager, a senior executive manager, information technology and data engineers, senior engineers, and physicians.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Medexpert-International-Inc.html,58
State of Idaho,"State Innovation Models Initiative: Model Design Awards, Idaho, ID, Medicaid, care coordination, patient-centered medical homes, partnerships, primary care, hospitals, social services, CMS Region 10",One of sixteen states developing models for multi-payer payment and health care delivery system transformation.,Idaho,"3,000,000.00",,,Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Participants Announced,State Innovation Models Initiative: Model Design Awards Round One,http://innovation.cms.gov/initiatives/participant/State-Innovations-Model-Design/Idaho.html,76
Carefirst,"Health Care Innovation Awards, HCIA, Maryland, MD, patient centered medical home, Medicare, primary care, chronic illnesses, avoidable hospitalizations, medication, care coordinators, nurse case managers, care coordinators, consultants, pharmacy managers, Carefirst, CMS Region 3",Medicare and CareFirst’s total care and cost improvement program in Maryland,Maryland,"24,000,000.00","29,213,838.00","CareFirst BlueCross BlueShield received an award to expand its Total Care and Cost Improvement Program (TCCI), which includes its Patient-Centered Medical Home to approximately 25,000 Medicare beneficiaries in Maryland. This approach will move the region toward a new health care financing model that is more accountable for care outcomes and less driven by the volume-inducing aspects of fee-for-service payment. The TCCI Program will enhance support for primary care, empowering primary care providers to coordinate care for Medicare beneficiaries with multiple morbidities and patients at high risk for chronic illnesses. TCCI will result in less fragmented health care, reducing avoidable hospitalizations, emergency room visits, medication interactions, and other problems caused by gaps in care and ensuring that patients receive the appropriate care for their conditions. The TCCI Program will create an estimated 36 jobs. The new workforce will include local care coordinators, and program consultants.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Carefirst.html,59
